f_star,u_ratio
0.100000,9.862345e-01
0.225800,9.966796e-01
0.351600,9.934944e-01
0.477400,9.555508e-01
0.603200,9.430297e-01
0.729000,8.916753e-01
0.854800,8.068040e-01
0.980600,6.288644e-01
1.106500,5.859726e-01
1.232300,4.611287e-01
1.358100,3.442982e-01
1.483900,3.803568e-01
1.609700,4.092538e-01
1.735500,4.873776e-01
1.861300,6.152581e-01
1.987100,6.304143e-01
2.112900,6.581913e-01
2.238700,7.728755e-01
2.364500,8.581905e-01
2.490300,8.681866e-01
2.616100,8.597847e-01
2.741900,8.523130e-01
2.867700,9.176398e-01
2.993500,9.996211e-01
3.119400,9.215577e-01
3.245200,8.350999e-01
3.371000,8.593428e-01
3.496800,8.425286e-01
3.622600,7.775390e-01
3.748400,7.172614e-01
3.874200,6.381457e-01
4.000000,5.933340e-01
